"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 18:33:49 IST 2022","Mon Nov 14 18:34:36 IST 2022","46784","","Incident Test Light theme","","Incident Test Light theme","Verify that when user adds 'Reason for Change' in any Edit modal for incident detail change, it gets added to NOTES section in Incident Summary right panel and increases count of NOTES by 1-Light","Verify that when user adds 'Reason for Change' in any Edit modal for incident detail change, it gets added to NOTES section in Incident Summary right panel and increases count of NOTES by 1-Light",""
"passed","Sat Nov 12 18:05:53 IST 2022","Sat Nov 12 18:06:03 IST 2022","10349","","Connector Test Dark theme","","Connector Test Dark theme","Verify that clicking on Connectors on left sidebar panel opens Connectors page-Dark","Verify that clicking on Connectors on left sidebar panel opens Connectors page-Dark",""
"passed","Mon Nov 14 18:05:59 IST 2022","Mon Nov 14 18:06:34 IST 2022","35146","","Incident Test Light theme","","Incident Test Light theme","Verify that User is able to search and apply quick filters in Incidents List view-Light","Verify that User is able to search and apply quick filters in Incidents List view-Light",""
"passed","Tue Nov 15 13:00:57 IST 2022","Tue Nov 15 13:01:24 IST 2022","26765","","Incident Test Dark theme","","Incident Test Dark theme","Verify that Incidents list table has 9 columns with expected column names in expected order and hovering on 9th  column “ASSIGNED TO” values shows 'View Details' link-Dark","Verify that Incidents list table has 9 columns with expected column names in expected order and hovering on 9th  column “ASSIGNED TO” values shows 'View Details' link-Dark",""
"passed","Wed Nov 16 12:26:31 IST 2022","Wed Nov 16 12:27:10 IST 2022","39759","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that decision right panel is opened when user clicks on Decision Block when right panel is in collapsed state-Dark","Verify that decision right panel is opened when user clicks on Decision Block when right panel is in collapsed state-Dark",""
"passed","Wed Nov 16 01:51:57 IST 2022","Wed Nov 16 01:53:28 IST 2022","90917","","Playbook Test Light theme","","Playbook Test Light theme","Verify User should be able to sort playbooks based on Created On and Updated On column in ascending and descending order in Published Playbooks-Light","Verify User should be able to sort playbooks based on Created On and Updated On column in ascending and descending order in Published Playbooks-Light",""
"passed","Tue Nov 15 13:03:37 IST 2022","Tue Nov 15 13:04:11 IST 2022","33184","","Incident Test Dark theme","","Incident Test Dark theme","Verify that Incident Summary right panel has 6 sections in it-Dark","Verify that Incident Summary right panel has 6 sections in it-Dark",""
"passed","Wed Nov 16 02:59:11 IST 2022","Wed Nov 16 03:00:13 IST 2022","61577","","Playbook Test Light theme","","Playbook Test Light theme","Verify that after adding an internal function, the main canvas area shows the block with name given by user-Light","Verify that after adding an internal function, the main canvas area shows the block with name given by user-Light",""
"passed","Sat Nov 12 18:12:47 IST 2022","Sat Nov 12 18:13:58 IST 2022","70977","","Connector Test Dark theme","","Connector Test Dark theme","Verify that setting Configured Connectors toggle ON in Enrichment tab, remains ON on Ingestion and Response connector tab also-Dark","Verify that setting Configured Connectors toggle ON in Enrichment tab, remains ON on Ingestion and Response connector tab also-Dark",""
"passed","Wed Nov 16 11:00:37 IST 2022","Wed Nov 16 11:01:16 IST 2022","38911","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that User is able to remove added quick filters in Published Playbooks-Dark","Verify that User is able to remove added quick filters in Published Playbooks-Dark",""
"failed","Mon Nov 14 18:38:58 IST 2022","Mon Nov 14 18:39:45 IST 2022","46723","","Incident Test Light theme","","Incident Test Light theme","Verify that user is able to filter incidents list by single incident type and multiple incident types-Light","Verify that user is able to filter incidents list by single incident type and multiple incident types-Light",""
"passed","Sat Nov 12 19:32:29 IST 2022","Sat Nov 12 19:32:43 IST 2022","13701","","Dashboard Test Dark theme-Admin","","Dashboard Test Dark theme-Admin","Verify Admin is able to view the count of Total Incidents on Donut chart of 'Overall Incident Summary' widget of Admin Dashboard Page.-Dark","Verify Admin is able to view the count of Total Incidents on Donut chart of 'Overall Incident Summary' widget of Admin Dashboard Page.-Dark",""
"passed","Tue Nov 15 12:59:08 IST 2022","Tue Nov 15 12:59:37 IST 2022","28644","","Incident Test Dark theme","","Incident Test Dark theme","Verify that user is able to expand and collapse Day dropdown inside timeline graph view area in Incident Timeline view-Dark","Verify that user is able to expand and collapse Day dropdown inside timeline graph view area in Incident Timeline view-Dark",""
"passed","Wed Nov 16 03:04:19 IST 2022","Wed Nov 16 03:05:04 IST 2022","45288","","Playbook Test Light theme","","Playbook Test Light theme","Verify that dragging and dropping 'Call External Function' block on main canvas area opens Call External Function right panel initial view-Light","Verify that dragging and dropping 'Call External Function' block on main canvas area opens Call External Function right panel initial view-Light",""
"passed","Wed Nov 16 11:55:15 IST 2022","Wed Nov 16 11:56:04 IST 2022","48749","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that User is not be able to delete connecting line of Decision to Yes block and Decision to No block-Dark","Verify that User is not be able to delete connecting line of Decision to Yes block and Decision to No block-Dark",""
"passed","Wed Nov 16 03:43:29 IST 2022","Wed Nov 16 03:44:22 IST 2022","52538","","Playbook Test Light theme","","Playbook Test Light theme","Verify that clicking on Cancel in editable external function block right panel, closes the right panel and discards the changes-Light","Verify that clicking on Cancel in editable external function block right panel, closes the right panel and discards the changes-Light",""
"passed","Tue Nov 15 14:28:08 IST 2022","Tue Nov 15 14:29:02 IST 2022","54301","","Incident Test Dark theme","","Incident Test Dark theme","Verify that 3 tabs List, Timeline, Correlation are visible in User View page-Dark","Verify that 3 tabs List, Timeline, Correlation are visible in User View page-Dark",""
"passed","Wed Nov 16 12:45:17 IST 2022","Wed Nov 16 12:46:39 IST 2022","81802","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that clicking on 'Publish Playbook' of 'Validation Successful' modal, closes the modal and User gets redirected to Published Playbooks tab-Dark","Verify that clicking on 'Publish Playbook' of 'Validation Successful' modal, closes the modal and User gets redirected to Published Playbooks tab-Dark",""
"passed","Tue Nov 15 14:02:02 IST 2022","Tue Nov 15 14:02:39 IST 2022","37598","","Incident Test Dark theme","","Incident Test Dark theme","Verify that User is able to see title section of the modal with Title of the modal, Incident ID, Incident Name and clickable Export Audit Report-Dark","Verify that User is able to see title section of the modal with Title of the modal, Incident ID, Incident Name and clickable Export Audit Report-Dark",""
"passed","Wed Nov 16 03:42:08 IST 2022","Wed Nov 16 03:43:29 IST 2022","80895","","Playbook Test Light theme","","Playbook Test Light theme","Verify that User is able to update Filter Block from main canvas area-Light","Verify that User is able to update Filter Block from main canvas area-Light",""
"passed","Wed Nov 16 02:19:06 IST 2022","Wed Nov 16 02:19:38 IST 2022","31566","","Playbook Test Light theme","","Playbook Test Light theme","Verify in Published Playbooks tab and Draft Playbooks tab that clicking on 'Playbooks' in breadcrumbs of Copy Playbook form shows 'Work not saved' modal-Light","Verify in Published Playbooks tab and Draft Playbooks tab that clicking on 'Playbooks' in breadcrumbs of Copy Playbook form shows 'Work not saved' modal-Light",""
"passed","Mon Nov 14 19:17:23 IST 2022","Mon Nov 14 19:18:20 IST 2022","57149","","Incident Test Light theme","","Incident Test Light theme","Verify that success toast notification is shown after Delete, Kill, and Quarantine of Unassociated Alerts-Light","Verify that success toast notification is shown after Delete, Kill, and Quarantine of Unassociated Alerts-Light",""
"passed","Tue Nov 15 15:05:48 IST 2022","Tue Nov 15 15:06:43 IST 2022","55271","","Incident Test Dark theme","","Incident Test Dark theme","Verify that User is able to click on “Export Audit Report” and Export the Audit Report for a incident using the Incident Canvas modal.-Dark","Verify that User is able to click on “Export Audit Report” and Export the Audit Report for a incident using the Incident Canvas modal.-Dark",""
"passed","Sat Nov 12 19:41:16 IST 2022","Sat Nov 12 19:41:33 IST 2022","16522","","SLA Test Dark theme","","SLA Test Dark theme","Verify that clicking on SLA Configuration option in Settings dropdown in left sidebar redirects to SLA Configuration tab-Dark","Verify that clicking on SLA Configuration option in Settings dropdown in left sidebar redirects to SLA Configuration tab-Dark",""
"skipped","Wed Nov 16 01:54:20 IST 2022","Wed Nov 16 01:54:20 IST 2022","1","","Playbook Test Light theme","","Playbook Test Light theme","Verify User is able to scroll up and down using Page Up and Page Down key on playbook list in Draft Playbooks tab-Light","Verify User is able to scroll up and down using Page Up and Page Down key on playbook list in Draft Playbooks tab-Light",""
"passed","Wed Nov 16 11:33:32 IST 2022","Wed Nov 16 11:34:41 IST 2022","68927","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that after adding an internal function, the right panel should show Read only view with Edit button-Dark","Verify that after adding an internal function, the right panel should show Read only view with Edit button-Dark",""
"passed","Wed Nov 16 10:20:48 IST 2022","Wed Nov 16 10:21:15 IST 2022","26702","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify User is able to select/deselect checkbox for a single row in Draft Playbooks tab-Dark","Verify User is able to select/deselect checkbox for a single row in Draft Playbooks tab-Dark",""
"passed","Wed Nov 16 12:56:04 IST 2022","Wed Nov 16 12:57:55 IST 2022","110530","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify the saved created flow for Dragged and filled block with no connection lines in Playbook Editor page is as expected-Dark","Verify the saved created flow for Dragged and filled block with no connection lines in Playbook Editor page is as expected-Dark",""
"passed","Mon Nov 14 18:53:16 IST 2022","Mon Nov 14 18:53:50 IST 2022","33781","","Incident Test Light theme","","Incident Test Light theme","Verify that in Incident Add Filter modal, the 'Saved Filter' tab empty view is as expected when no Saved Filters are there-Light","Verify that in Incident Add Filter modal, the 'Saved Filter' tab empty view is as expected when no Saved Filters are there-Light",""
"passed","Sat Nov 12 19:48:13 IST 2022","Sat Nov 12 19:48:26 IST 2022","13361","","Dashboard Test Light theme-Analyst","","Dashboard Test Light theme-Analyst","Verify that Analyst is able to view the 6 widget below 'Incident Timeline' view as Analyst Dashboard Page.-Light","Verify that Analyst is able to view the 6 widget below 'Incident Timeline' view as Analyst Dashboard Page.-Light",""
"passed","Mon Nov 14 18:14:52 IST 2022","Mon Nov 14 18:15:27 IST 2022","35770","","Incident Test Light theme","","Incident Test Light theme","Verify that the count of applied filters is shown in filter component in Base Alerts view after applying it from Base Alerts Add Filter modal-Light","Verify that the count of applied filters is shown in filter component in Base Alerts view after applying it from Base Alerts Add Filter modal-Light",""
"passed","Wed Nov 16 10:27:12 IST 2022","Wed Nov 16 10:27:52 IST 2022","39653","","Playbook Test Dark theme","","Playbook Test Dark theme","Verify that scroll bar is shown on top after User has scrolled down and applied some filters on Playbook list in Draft Playbooks tab-Dark","Verify that scroll bar is shown on top after User has scrolled down and applied some filters on Playbook list in Draft Playbooks tab-Dark",""
